Nº Aquisição Horário     Data        Canal 1 [°C] 
00492        3:11:01 PM  5/19/2015   32.5         
00493        3:12:01 PM  5/19/2015   32.5         
00494        3:13:01 PM  5/19/2015   32.5         
00495        3:14:01 PM  5/19/2015   32.5         
00496        3:15:01 PM  5/19/2015   32.5         
00497        3:16:01 PM  5/19/2015   32.5         
00498        3:17:01 PM  5/19/2015   32.5         
00499        3:18:01 PM  5/19/2015   32.5         
00500        3:19:01 PM  5/19/2015   32.5         
00501        3:20:01 PM  5/19/2015   32.5         
00502        3:21:01 PM  5/19/2015   32.5         
00503        3:22:01 PM  5/19/2015   32.4         
00504        3:23:01 PM  5/19/2015   32.4         
00505        3:24:01 PM  5/19/2015   32.4         
00506        3:25:01 PM  5/19/2015   32.4         
00507        3:26:01 PM  5/19/2015   32.4         
00508        3:27:01 PM  5/19/2015   32.4         
00509        3:28:01 PM  5/19/2015   32.4         
00510        3:29:01 PM  5/19/2015   32.4         
00511        3:30:01 PM  5/19/2015   32.4         
00512        3:31:01 PM  5/19/2015   32.4         
00513        3:32:01 PM  5/19/2015   32.4         
00514        3:33:01 PM  5/19/2015   32.4         
00515        3:34:01 PM  5/19/2015   32.4         
00516        3:35:01 PM  5/19/2015   32.3         
00517        3:36:01 PM  5/19/2015   32.3         
00518        3:37:01 PM  5/19/2015   32.3         
00519        3:38:01 PM  5/19/2015   32.3         
00520        3:39:01 PM  5/19/2015   32.3         
00521        3:40:01 PM  5/19/2015   32.3         
00522        3:41:01 PM  5/19/2015   32.3         
00523        3:42:01 PM  5/19/2015   32.3         
00524        3:43:01 PM  5/19/2015   32.3         
00525        3:44:01 PM  5/19/2015   32.3         
00526        3:45:01 PM  5/19/2015   32.3         
00527        3:46:01 PM  5/19/2015   32.2         
00528        3:47:01 PM  5/19/2015   32.2         
00529        3:48:01 PM  5/19/2015   32.2         
00530        3:49:01 PM  5/19/2015   32.2         
00531        3:50:01 PM  5/19/2015   32.2         
00532        3:51:01 PM  5/19/2015   32.2         
00533        3:52:01 PM  5/19/2015   32.2         
00534        3:53:01 PM  5/19/2015   32.2         
00535        3:54:01 PM  5/19/2015   32.2         
00536        3:55:01 PM  5/19/2015   32.2         
00537        3:56:01 PM  5/19/2015   32.2         
00538        3:57:01 PM  5/19/2015   32.2         
00539        3:58:01 PM  5/19/2015   32.2         
00540        3:59:01 PM  5/19/2015   32.2         
00541        4:00:01 PM  5/19/2015   32.1         
00542        4:01:01 PM  5/19/2015   32.1         
00543        4:02:01 PM  5/19/2015   32.1         
00544        4:03:01 PM  5/19/2015   32.1         
00545        4:04:01 PM  5/19/2015   32.1         
00546        4:05:01 PM  5/19/2015   32.1         
00547        4:06:01 PM  5/19/2015   32.1         
00548        4:07:01 PM  5/19/2015   32.1         
00549        4:08:01 PM  5/19/2015   32.1         
00550        4:09:01 PM  5/19/2015   32.1         
00551        4:10:01 PM  5/19/2015   32.1         
00552        4:11:01 PM  5/19/2015   32.1         
00553        4:12:01 PM  5/19/2015   32.1         
00554        4:13:01 PM  5/19/2015   32.1         
00555        4:14:01 PM  5/19/2015   32.0         
00556        4:15:01 PM  5/19/2015   32.0         
00557        4:16:01 PM  5/19/2015   32.0         
00558        4:17:01 PM  5/19/2015   32.0         
00559        4:18:01 PM  5/19/2015   32.0         
00560        4:19:01 PM  5/19/2015   32.0         
00561        4:20:01 PM  5/19/2015   32.0         
00562        4:21:01 PM  5/19/2015   32.0         
00563        4:22:01 PM  5/19/2015   32.0         
00564        4:23:01 PM  5/19/2015   32.0         
00565        4:24:01 PM  5/19/2015   32.0         
00566        4:25:01 PM  5/19/2015   32.0         
00567        4:26:01 PM  5/19/2015   32.0         
00568        4:27:01 PM  5/19/2015   32.0         
00569        4:28:01 PM  5/19/2015   32.0         
00570        4:29:01 PM  5/19/2015   32.0         
00571        4:30:01 PM  5/19/2015   32.0         
00572        4:31:01 PM  5/19/2015   32.0         
00573        4:32:01 PM  5/19/2015   32.0         
00574        4:33:01 PM  5/19/2015   32.0         
00575        4:34:01 PM  5/19/2015   32.0         
00576        4:35:01 PM  5/19/2015   31.9         
00577        4:36:01 PM  5/19/2015   31.9         
00578        4:37:01 PM  5/19/2015   31.9         
